0,0,250,1,1
2,0,700,1,2
0,0,1700,1,1
1,0,2000,0,3
1,0,1000,0,2
0,0,800,1,1
0,0,400,1,2
1,0,2250,0,1
1,0,1000,0,2
0,2,250,1,3
0,2,550,1,1
2,2,1400,1,1
0,2,1710,0,2
0,2,1850,0,3
1,2,2050,1,3
1,2,1000,0,2
1,2,950,1,2
2,0,350,1,1
0,0,1800,0,2
1,0,2250,0,1
1,0,1900,1,2
1,0,800,1,1
0,1,230,1,2
0,2,600,1,1
1,1,1000,1,3
1,2,2550,0,2
2,0,450,1,2
0,0,1050,1,2
1,0,2600,0,1
1,0,800,1,1
1,3,1400,1,1
0,0,1250,1,2
0,0,1350,1,1
1,0,1700,0,1
1,0,1540,0,2
0,2,240,1,2
2,2,1050,0,3
1,1,1550,1,1
1,2,1800,1,3
1,1,2600,0,1
0,0,300,1,1
2,0,2000,0,2
1,0,1880,1,2
0,3,1580,1,2
0,0,1450,1,1
0,0,1550,1,1
1,0,1800,0,1
1,0,1850,0,2
1,0,1720,0,2
